image_vendor,image_type,image_size_bytes,image_digest,n_vulnerabilities,n_vulnerabilities_severe,n_components,image_size_mb,vulns_per_comp,severe_vulns_per_comp
original,traefik,151407150,b7c1fb,5.0,1.0,325,151.40715,0.015384615384615385,0.003076923076923077
rapidfort,rabbitmq,94208160,0270c4,72.0,13.0,53,94.20816,1.3584905660377358,0.24528301886792453
rapidfort,envoy-official,76720272,68724e,3.0,0.0,13,76.720272,0.23076923076923078,0.0
chainguard,etcd,67196487,fded90,9.0,0.0,173,67.196487,0.05202312138728324,0.0
rapidfort,telegraf,208883527,c54c26,21.0,0.0,429,208.883527,0.04895104895104895,0.0
chainguard,influxdb,150942393,b55275,0.0,0.0,262,150.942393,0.0,0.0
original,cassandra-official,356032979,9249d0,51.0,6.0,230,356.032979,0.2217391304347826,0.02608695652173913
original,telegraf,286222943,0e87df,91.0,7.0,935,286.222943,0.09732620320855614,0.0074866310160427805
chainguard,curl,11928855,66507b,0.0,0.0,24,11.928855,0.0,0.0
chainguard,nats,21545280,99c0b9,0.0,0.0,23,21.54528,0.0,0.0
rapidfort,traefik,135643959,4a6f35,10.0,3.0,281,135.643959,0.03558718861209965,0.010676156583629894
chainguard,envoy,102116394,4be883,0.0,0.0,22,102.116394,0.0,0.0
chainguard,consul,152110078,9c4604,0.0,0.0,286,152.110078,0.0,0.0
original,fluentd-official,58907968,dc11fe,2.0,0.0,129,58.907968,0.015503875968992248,0.0
original,nginx,89163122,4114e7,89.0,9.0,119,89.163122,0.7478991596638656,0.07563025210084033
rapidfort,nginx,19108342,ad01de,45.0,3.0,28,19.108342,1.6071428571428572,0.10714285714285714
rapidfort,consul,134121532,c60ec8,51.0,3.0,275,134.121532,0.18545454545454546,0.01090909090909091
rapidfort,haproxy,19093105,e78e72,40.0,2.0,24,19.093105,1.6666666666666667,0.08333333333333333
rapidfort,memcached-official,11591743,9ad889,26.0,3.0,17,11.591743,1.5294117647058822,0.17647058823529413
original,memcached-official,106112384,3eb272,169.0,10.0,110,106.112384,1.5363636363636364,0.09090909090909091
original,fluentd,257869197,66e5bc,233.0,23.0,408,257.869197,0.571078431372549,0.056372549019607844
chainguard,mariadb,265413582,b2de8f,0.0,0.0,48,265.413582,0.0,0.0
rapidfort,zookeper,234046502,ce4cd0,50.0,4.0,80,234.046502,0.625,0.05
original,nats-official,14025093,a8d7d5,0.0,0.0,11,14.025093,0.0,0.0
rapidfort,zookeper-official,178645064,8a5275,5.0,0.0,55,178.645064,0.09090909090909091,0.0
rapidfort,cassandra-official,252669227,7c8450,34.0,19.0,70,252.669227,0.4857142857142857,0.2714285714285714
original,vault,395768823,1fe5ac,2.0,0.0,464,395.768823,0.004310344827586207,0.0
chainguard,memcached-official,24431976,e39dad,0.0,0.0,38,24.431976,0.0,0.0
chainguard,rabbitmq,219285328,140299,0.0,0.0,38,219.285328,0.0,0.0
chainguard,haproxy-official,51794076,4071ee,0.0,0.0,95,51.794076,0.0,0.0
chainguard,envoy-official,102116394,4be883,0.0,0.0,22,102.116394,0.0,0.0
original,haproxy,116180547,f8edb7,103.0,7.0,231,116.180547,0.4458874458874459,0.030303030303030304
chainguard,cassandra-official,246174682,6c3bb1,3.0,1.0,198,246.174682,0.015151515151515152,0.005050505050505051
original,etcd,144254657,efbf19,101.0,7.0,370,144.254657,0.27297297297297296,0.01891891891891892
original,redis,95146270,3b8b92,91.0,9.0,109,95.14627,0.8348623853211009,0.08256880733944955
rapidfort,fluentd,29375343,39e69a,37.0,3.0,186,29.375343,0.1989247311827957,0.016129032258064516
rapidfort,fluentd-official,14790333,f5363d,39.0,19.0,85,14.790333,0.4588235294117647,0.2235294117647059
chainguard,postgres-official,101686337,5f21a1,0.0,0.0,46,101.686337,0.0,0.0
rapidfort,vault,215275792,9e8731,19.0,8.0,368,215.275792,0.051630434782608696,0.021739130434782608
chainguard,fluentd-official,61368713,84dda1,0.0,0.0,161,61.368713,0.0,0.0
chainguard,traefik,138178845,b28132,0.0,0.0,315,138.178845,0.0,0.0
rapidfort,redis,26961985,e61806,32.0,2.0,25,26.961985,1.28,0.08
rapidfort,nats-official,13193459,78c59d,0.0,0.0,11,13.193459,0.0,0.0
chainguard,memcached,24431976,e39dad,0.0,0.0,38,24.431976,0.0,0.0
original,envoy,147946027,1f8614,87.0,7.0,100,147.946027,0.87,0.07
original,zookeper,521885373,e3837b,115.0,16.0,218,521.885373,0.5275229357798165,0.07339449541284404
chainguard,nginx-official,20784807,f4da48,0.0,0.0,32,20.784807,0.0,0.0
original,zookeper-official,327779983,33ed4d,144.0,0.0,201,327.779983,0.7164179104477612,0.0
chainguard,zookeper,301013255,12dd90,0.0,0.0,104,301.013255,0.0,0.0
chainguard,telegraf,196539391,6c75b5,0.0,0.0,414,196.539391,0.0,0.0
original,envoy-official,164025612,1cc744,18.0,0.0,96,164.025612,0.1875,0.0
rapidfort,redis-official,24248720,cc0d5d,0.0,0.0,7,24.24872,0.0,0.0
original,memcached,86198059,76e52a,93.0,9.0,112,86.198059,0.8303571428571429,0.08035714285714286
original,mariadb,403869615,e2d165,40.0,1.0,158,403.869615,0.25316455696202533,0.006329113924050633
chainguard,haproxy,51794076,4071ee,0.0,0.0,95,51.794076,0.0,0.0
rapidfort,etcd,54685224,51c247,46.0,4.0,140,54.685224,0.32857142857142857,0.02857142857142857
rapidfort,memcached,12288183,b8a57b,23.0,2.0,18,12.288183,1.2777777777777777,0.1111111111111111
original,haproxy-official,103837376,91ae44,90.0,11.0,98,103.837376,0.9183673469387755,0.11224489795918367
chainguard,vault,271837189,d00357,0.0,0.0,456,271.837189,0.0,0.0
chainguard,redis-official,21240708,af0acf,0.0,0.0,32,21.240708,0.0,0.0
rapidfort,envoy,74256696,23f7cf,21.0,2.0,14,74.256696,1.5,0.14285714285714285
rapidfort,mariadb,96909057,21b7ba,26.0,2.0,28,96.909057,0.9285714285714286,0.07142857142857142
rapidfort,nats,37669917,f724af,31.0,4.0,45,37.669917,0.6888888888888889,0.08888888888888889
rapidfort,prometheus,183142359,580f13,34.0,3.0,521,183.142359,0.06525911708253358,0.005758157389635317
rapidfort,haproxy-official,32847291,a3fcd1,35.0,6.0,17,32.847291,2.0588235294117645,0.35294117647058826
chainguard,prometheus,181811465,b76fcd,4.0,2.0,347,181.811465,0.011527377521613832,0.005763688760806916
rapidfort,nginx-official,100333492,0c4d12,73.0,7.0,67,100.333492,1.0895522388059702,0.1044776119402985
original,redis-official,137761109,07d715,173.0,11.0,109,137.761109,1.5871559633027523,0.10091743119266056
rapidfort,curl,6542980,6464da,18.0,7.0,11,6.54298,1.6363636363636365,0.6363636363636364
rapidfort,influxdb,147450500,7b6c8d,65.0,13.0,264,147.4505,0.24621212121212122,0.04924242424242424
original,postgres-official,417010641,8050b5,119.0,6.0,148,417.010641,0.8040540540540541,0.04054054054054054
original,prometheus,259863465,48f2e4,102.0,10.0,609,259.863465,0.16748768472906403,0.016420361247947456
original,rabbitmq,211713431,e31b7c,126.0,15.0,113,211.713431,1.1150442477876106,0.13274336283185842
chainguard,nats-official,21545280,99c0b9,0.0,0.0,23,21.54528,0.0,0.0
original,curl,18328621,d00fa0,2.0,1.0,31,18.328621,0.06451612903225806,0.03225806451612903
rapidfort,postgres-official,87450806,6c3cc3,77.0,14.0,63,87.450806,1.2222222222222223,0.2222222222222222
chainguard,redis,21240708,af0acf,0.0,0.0,32,21.240708,0.0,0.0
chainguard,nginx,20784807,f4da48,0.0,0.0,32,20.784807,0.0,0.0
original,nginx-official,186711774,52d66e,101.0,4.0,151,186.711774,0.6688741721854304,0.026490066225165563
original,nats,98759594,a94acc,105.0,23.0,134,98.759594,0.7835820895522388,0.17164179104477612
original,consul,230600801,c71142,236.0,24.0,609,230.600801,0.38752052545155996,0.03940886699507389
original,influxdb,206320811,dd985e,108.0,15.0,527,206.320811,0.2049335863377609,0.028462998102466792
chainguard,fluentd,61368713,84dda1,0.0,0.0,161,61.368713,0.0,0.0
chainguard,zookeper-official,301013255,12dd90,0.0,0.0,104,301.013255,0.0,0.0
