image_vendor,image_type,image_size_bytes,image_digest
original,traefik,151407150,b7c1fb
rapidfort,rabbitmq,94208160,0270c4
rapidfort,envoy-official,76720272,68724e
chainguard,etcd,67196487,fded90
rapidfort,telegraf,208883527,c54c26
chainguard,influxdb,150942393,b55275
original,cassandra-official,356032979,9249d0
original,telegraf,286222943,0e87df
chainguard,curl,11928855,66507b
chainguard,nats,21545280,99c0b9
rapidfort,traefik,135643959,4a6f35
chainguard,envoy,102116394,4be883
chainguard,consul,152110078,9c4604
original,fluentd-official,58907968,dc11fe
original,nginx,89163122,4114e7
rapidfort,nginx,19108342,ad01de
rapidfort,consul,134121532,c60ec8
rapidfort,haproxy,19093105,e78e72
rapidfort,memcached-official,11591743,9ad889
original,memcached-official,106112384,3eb272
original,fluentd,257869197,66e5bc
chainguard,mariadb,265413582,b2de8f
rapidfort,zookeper,234046502,ce4cd0
original,nats-official,14025093,a8d7d5
rapidfort,zookeper-official,178645064,8a5275
rapidfort,cassandra-official,252669227,7c8450
original,vault,395768823,1fe5ac
chainguard,memcached-official,24431976,e39dad
chainguard,rabbitmq,219285328,140299
chainguard,haproxy-official,51794076,4071ee
chainguard,envoy-official,102116394,4be883
original,haproxy,116180547,f8edb7
chainguard,cassandra-official,246174682,6c3bb1
original,etcd,144254657,efbf19
original,redis,95146270,3b8b92
rapidfort,fluentd,29375343,39e69a
rapidfort,fluentd-official,14790333,f5363d
chainguard,postgres-official,101686337,5f21a1
rapidfort,vault,215275792,9e8731
chainguard,fluentd-official,61368713,84dda1
chainguard,traefik,138178845,b28132
rapidfort,redis,26961985,e61806
rapidfort,nats-official,13193459,78c59d
chainguard,memcached,24431976,e39dad
original,envoy,147946027,1f8614
original,zookeper,521885373,e3837b
chainguard,nginx-official,20784807,f4da48
original,zookeper-official,327779983,33ed4d
chainguard,zookeper,301013255,12dd90
chainguard,telegraf,196539391,6c75b5
original,envoy-official,164025612,1cc744
rapidfort,redis-official,24248720,cc0d5d
original,memcached,86198059,76e52a
original,mariadb,403869615,e2d165
chainguard,haproxy,51794076,4071ee
rapidfort,etcd,54685224,51c247
rapidfort,memcached,12288183,b8a57b
original,haproxy-official,103837376,91ae44
chainguard,vault,271837189,d00357
chainguard,redis-official,21240708,af0acf
rapidfort,envoy,74256696,23f7cf
rapidfort,mariadb,96909057,21b7ba
rapidfort,nats,37669917,f724af
rapidfort,prometheus,183142359,580f13
rapidfort,haproxy-official,32847291,a3fcd1
chainguard,prometheus,181811465,b76fcd
rapidfort,nginx-official,100333492,0c4d12
original,redis-official,137761109,07d715
rapidfort,curl,6542980,6464da
rapidfort,influxdb,147450500,7b6c8d
original,postgres-official,417010641,8050b5
original,prometheus,259863465,48f2e4
original,rabbitmq,211713431,e31b7c
chainguard,nats-official,21545280,99c0b9
original,curl,18328621,d00fa0
rapidfort,postgres-official,87450806,6c3cc3
chainguard,redis,21240708,af0acf
chainguard,nginx,20784807,f4da48
original,nginx-official,186711774,52d66e
original,nats,98759594,a94acc
original,consul,230600801,c71142
original,influxdb,206320811,dd985e
chainguard,fluentd,61368713,84dda1
chainguard,zookeper-official,301013255,12dd90
