image_vendor,image_type,image_size_bytes,image_digest,n_vulnerabilities,n_vulnerabilities_severe,n_components,image_size_mb,vulns_per_comp,severe_vulns_per_comp
chainguard,cassandra-official,308573857,1cd603,0.0,0.0,112,308.573857,0.0,0.0
chainguard,consul,160589105,47c37d,1.0,0.0,271,160.589105,0.0036900369003690036,0.0
chainguard,curl,13142599,951d27,0.0,0.0,16,13.142599,0.0,0.0
chainguard,envoy,128104248,a5b7fb,0.0,0.0,12,128.104248,0.0,0.0
chainguard,envoy-official,128104248,a5b7fb,0.0,0.0,12,128.104248,0.0,0.0
chainguard,etcd,67701878,3f76e6,0.0,0.0,181,67.701878,0.0,0.0
chainguard,fluentd,62598451,f70e88,0.0,0.0,130,62.598451,0.0,0.0
chainguard,fluentd-official,62598451,f70e88,0.0,0.0,130,62.598451,0.0,0.0
chainguard,haproxy,59158403,d6bee7,0.0,0.0,92,59.158403,0.0,0.0
chainguard,haproxy-official,59158403,d6bee7,0.0,0.0,92,59.158403,0.0,0.0
chainguard,influxdb,166588713,82ef8c,1.0,0.0,275,166.588713,0.0036363636363636364,0.0
chainguard,mariadb,286693231,0c1704,0.0,0.0,26,286.693231,0.0,0.0
chainguard,memcached,28015043,b312ad,0.0,0.0,19,28.015043,0.0,0.0
chainguard,memcached-official,28015043,b312ad,0.0,0.0,19,28.015043,0.0,0.0
chainguard,nats,19733900,c045d2,0.0,0.0,17,19.7339,0.0,0.0
chainguard,nats-official,19733900,c045d2,0.0,0.0,17,19.7339,0.0,0.0
chainguard,nginx,20845144,f1afe9,0.0,0.0,16,20.845144,0.0,0.0
chainguard,nginx-official,20845144,f1afe9,0.0,0.0,16,20.845144,0.0,0.0
chainguard,postgres-official,98726127,9a90a1,0.0,0.0,34,98.726127,0.0,0.0
chainguard,prometheus,193322361,b8c4ad,0.0,0.0,344,193.322361,0.0,0.0
chainguard,rabbitmq,147080935,42c59f,0.0,0.0,19,147.080935,0.0,0.0
chainguard,redis,20687291,9e0fcf,0.0,0.0,16,20.687291,0.0,0.0
chainguard,redis-official,20687291,9e0fcf,0.0,0.0,16,20.687291,0.0,0.0
chainguard,telegraf,232680250,273b10,0.0,0.0,448,232.68025,0.0,0.0
chainguard,traefik,187819867,2d71d7,1.0,0.0,302,187.819867,0.0033112582781456954,0.0
chainguard,vault,367728373,08532d,1.0,0.0,466,367.728373,0.002145922746781116,0.0
chainguard,zookeper,259920039,312a1f,0.0,0.0,89,259.920039,0.0,0.0
chainguard,zookeper-official,259920039,312a1f,0.0,0.0,89,259.920039,0.0,0.0
original,cassandra-official,340466376,33b820,153.0,39.0,223,340.466376,0.6860986547085202,0.17488789237668162
original,consul,312730744,11ddb1,119.0,8.0,379,312.730744,0.31398416886543534,0.021108179419525065
original,curl,25754951,5f5835,12.0,2.0,32,25.754951,0.375,0.0625
original,envoy,221693364,0ba248,86.0,7.0,100,221.693364,0.86,0.07
original,envoy-official,149588311,099cbb,36.0,0.0,95,149.588311,0.37894736842105264,0.0
original,etcd,210283375,f3dfff,78.0,5.0,295,210.283375,0.26440677966101694,0.01694915254237288
