image_vendor,image_type,image_size_bytes,image_digest
original,rabbitmq,288904558,893159
chainguard,nginx,20845144,f1afe9
rapidfort,fluentd-official,56707998,76642d
rapidfort,envoy,74553140,1658dc
original,consul,312730744,11ddb1
original,envoy-official,149588311,099cbb
chainguard,nats-official,19733900,c045d2
chainguard,cassandra-official,308573857,1cd603
original,nginx-official,192977546,ebe124
original,fluentd-official,67102574,1cf8f4
rapidfort,rabbitmq,107157298,53981a
chainguard,nats,19733900,c045d2
rapidfort,haproxy-official,27535650,5a70ec
rapidfort,postgres-official,87113463,fff017
original,redis,174557985,18b986
original,cassandra-official,340466376,33b820
chainguard,haproxy,59158403,d6bee7
original,haproxy-official,125496373,c1f874
rapidfort,vault,431200480,4916b2
original,etcd,210283375,f3dfff
rapidfort,cassandra-official,197337703,7666ee
rapidfort,influxdb,164032223,c0e790
rapidfort,traefik,162403798,611d10
original,mariadb,434260376,aa734f
rapidfort,fluentd,29375423,bac597
original,zookeper,613576145,795ab6
original,curl,25754951,5f5835
rapidfort,envoy-official,78588446,02d2a9
original,nginx,216714155,f84bfc
rapidfort,memcached,13728355,dcd2a5
rapidfort,nginx-official,59337854,75b189
chainguard,postgres-official,98726127,9a90a1
rapidfort,consul,146051993,0e2e9f
chainguard,telegraf,232680250,273b10
original,traefik,168530188,5b2b1d
original,influxdb,288647315,a997d3
chainguard,consul,160589105,47c37d
original,zookeper-official,304120002,79c90f
rapidfort,mariadb,87195499,28b1ae
original,fluentd,345993407,17efd5
chainguard,envoy-official,128104248,a5b7fb
rapidfort,zookeper,243512438,304d9a
rapidfort,nats,39721758,cc1ae3
chainguard,redis,20687291,9e0fcf
chainguard,nginx-official,20845144,f1afe9
chainguard,traefik,187819867,2d71d7
chainguard,memcached-official,28015043,b312ad
original,telegraf,388488218,672742
chainguard,fluentd,62598451,f70e88
chainguard,influxdb,166588713,82ef8c
chainguard,fluentd-official,62598451,f70e88
original,redis-official,139096621,86f9d1
original,postgres-official,453314509,cf6009
original,prometheus,340073707,1f0bbe
chainguard,curl,13142599,951d27
chainguard,vault,367728373,08532d
chainguard,envoy,128104248,a5b7fb
chainguard,mariadb,286693231,0c1704
rapidfort,etcd,69750551,3bedd1
rapidfort,telegraf,249890505,97e4e2
rapidfort,memcached-official,8119058,c43b60
original,nats-official,13909510,656264
rapidfort,nginx,21316716,76f534
chainguard,zookeper-official,259920039,312a1f
chainguard,zookeper,259920039,312a1f
chainguard,haproxy-official,59158403,d6bee7
original,memcached-official,107416126,7763dd
original,vault,438077185,f1000f
rapidfort,curl,11688235,d8c64a
original,haproxy,192739090,026b03
rapidfort,redis,23701769,f6de23
original,memcached,162314587,44e676
rapidfort,zookeper-official,177605827,e6df86
rapidfort,redis-official,27140343,f251c8
chainguard,prometheus,193322361,b8c4ad
original,nats,171415988,98016b
chainguard,rabbitmq,147080935,42c59f
chainguard,memcached,28015043,b312ad
rapidfort,haproxy,20580177,a3fdf6
rapidfort,nats-official,16073292,1ca88b
rapidfort,prometheus,194691014,77f6c9
chainguard,etcd,67701878,3f76e6
original,envoy,221693364,0ba248
chainguard,redis-official,20687291,9e0fcf
