severity,type,image_vendor,image_type
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
unknown,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
medium,deb,original,rabbitmq
high,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
low,deb,original,rabbitmq
negligible,deb,original,rabbitmq
critical,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
unknown,deb,original,rabbitmq
medium,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
medium,deb,original,rabbitmq
unknown,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
negligible,deb,original,rabbitmq
