,image_provider,image_flavor,image_digest
36,rapidfort,cassandra-official,7c8450
9,original,cassandra-official,7e4bca
45,chainguard,cassandra-official,d26b96
42,alpine,consul,e1eb4f
25,rapidfort,consul,394634
18,chainguard,consul,beadb8
105,original,consul,3f84ec
91,rapidfort,curl,6464da
43,alpine,curl,35738c
12,chainguard,curl,730de9
98,original,curl,1e4890
79,rapidfort,envoy,47e9d8
59,original,envoy,2f12d3
86,alpine,envoy,ee1985
17,chainguard,envoy,694cef
41,chainguard,envoy-official,694cef
20,alpine,envoy-official,ee1985
3,rapidfort,envoy-official,40c008
67,original,envoy-official,82f353
46,original,etcd,ea4e32
74,rapidfort,etcd,f32742
4,chainguard,etcd,e8b654
108,chainguard,fluentd,fa7f90
48,rapidfort,fluentd,df4830
64,alpine,fluentd,ee008e
29,original,fluentd,28215e
49,rapidfort,fluentd-official,f5363d
19,original,fluentd-official,dc11fe
53,chainguard,fluentd-official,fa7f90
106,alpine,fluentd-official,ee008e
58,alpine,haproxy,5d01b6
73,chainguard,haproxy,850ba8
26,rapidfort,haproxy,ee8f0e
44,original,haproxy,b1f51e
40,chainguard,haproxy-official,850ba8
76,original,haproxy-official,699008
22,alpine,haproxy-official,5d01b6
85,rapidfort,haproxy-official,a3fcd1
93,rapidfort,influxdb,984a4e
107,original,influxdb,4910c6
8,alpine,influxdb,2a04db
7,chainguard,influxdb,2458b7
72,original,mariadb,cefa81
81,rapidfort,mariadb,683710
82,alpine,mariadb,c74264
30,chainguard,mariadb,9090a0
69,original,memcached,a420a9
75,rapidfort,memcached,b8a57b
70,alpine,memcached,1a055b
57,chainguard,memcached,5e3e71
38,chainguard,memcached-official,5e3e71
27,rapidfort,memcached-official,9ad889
6,alpine,memcached-official,1a055b
28,original,memcached-official,a7f8c0
71,alpine,nats,0b33f5
14,chainguard,nats,568475
83,rapidfort,nats,f724af
103,original,nats,1326bc
97,chainguard,nats-official,568475
56,rapidfort,nats-official,78c59d
33,original,nats-official,85ba1b
87,alpine,nats-official,0b33f5
23,rapidfort,nginx,5d0f64
35,alpine,nginx,a23c54
21,original,nginx,23dcca
101,chainguard,nginx,0d66db
24,alpine,nginx-official,a23c54
89,rapidfort,nginx-official,0c4d12
102,original,nginx-official,958130
62,chainguard,nginx-official,0d66db
94,original,postgres-official,8202fe
61,alpine,postgres-official,15f21f
99,rapidfort,postgres-official,6c3cc3
51,chainguard,postgres-official,aff0e5
15,alpine,prometheus,41ec31
88,chainguard,prometheus,84ad57
95,original,prometheus,55a519
84,rapidfort,prometheus,0d6830
96,original,rabbitmq,8c5953
2,rapidfort,rabbitmq,15b4e2
1,alpine,rabbitmq,72acf4
39,chainguard,rabbitmq,5ca522
47,original,redis,f2e3d9
55,rapidfort,redis,aeb8ba
100,chainguard,redis,edc899
80,alpine,redis,a0df54
78,chainguard,redis-official,edc899
68,rapidfort,redis-official,2f2230
32,alpine,redis-official,a0df54
90,original,redis-official,eda2f5
66,chainguard,telegraf,27b549
10,original,telegraf,bdb46f
5,rapidfort,telegraf,8b4a84
92,alpine,telegraf,fbd244
0,original,traefik,ff20fd
54,chainguard,traefik,5c8306
16,rapidfort,traefik,4a6f35
11,alpine,traefik,ef53d1
52,rapidfort,vault,9e8731
37,original,vault,1fe5ac
104,alpine,vault,b72626
77,chainguard,vault,fec514
65,chainguard,zookeper,8bb0d3
60,original,zookeper,7380ba
50,alpine,zookeper,35a85c
31,rapidfort,zookeper,e2897b
63,original,zookeper-official,1d115d
34,rapidfort,zookeper-official,d9c127
13,alpine,zookeper-official,35a85c
109,chainguard,zookeper-official,8bb0d3
