image_provider    image_flavor        image_digest
----------------  ------------------  --------------
rapidfort         cassandra-official  7c8450
original          cassandra-official  7e4bca
chainguard        cassandra-official  d26b96
alpine            consul              e1eb4f
rapidfort         consul              394634
chainguard        consul              beadb8
original          consul              3f84ec
rapidfort         curl                6464da
alpine            curl                35738c
chainguard        curl                730de9
original          curl                1e4890
rapidfort         envoy               47e9d8
original          envoy               2f12d3
alpine            envoy               ee1985
chainguard        envoy               694cef
chainguard        envoy-official      694cef
alpine            envoy-official      ee1985
rapidfort         envoy-official      40c008
original          envoy-official      82f353
original          etcd                ea4e32
rapidfort         etcd                f32742
chainguard        etcd                e8b654
chainguard        fluentd             fa7f90
rapidfort         fluentd             df4830
alpine            fluentd             ee008e
original          fluentd             28215e
rapidfort         fluentd-official    f5363d
original          fluentd-official    dc11fe
chainguard        fluentd-official    fa7f90
alpine            fluentd-official    ee008e
alpine            haproxy             5d01b6
chainguard        haproxy             850ba8
rapidfort         haproxy             ee8f0e
original          haproxy             b1f51e
chainguard        haproxy-official    850ba8
original          haproxy-official    699008
alpine            haproxy-official    5d01b6
rapidfort         haproxy-official    a3fcd1
rapidfort         influxdb            984a4e
original          influxdb            4910c6
alpine            influxdb            2a04db
chainguard        influxdb            2458b7
original          mariadb             cefa81
rapidfort         mariadb             683710
alpine            mariadb             c74264
chainguard        mariadb             9090a0
original          memcached           a420a9
rapidfort         memcached           b8a57b
alpine            memcached           1a055b
chainguard        memcached           5e3e71
chainguard        memcached-official  5e3e71
rapidfort         memcached-official  9ad889
alpine            memcached-official  1a055b
original          memcached-official  a7f8c0
alpine            nats                0b33f5
chainguard        nats                568475
rapidfort         nats                f724af
original          nats                1326bc
chainguard        nats-official       568475
rapidfort         nats-official       78c59d
original          nats-official       85ba1b
alpine            nats-official       0b33f5
rapidfort         nginx               5d0f64
alpine            nginx               a23c54
original          nginx               23dcca
chainguard        nginx               0d66db
alpine            nginx-official      a23c54
rapidfort         nginx-official      0c4d12
original          nginx-official      958130
chainguard        nginx-official      0d66db
original          postgres-official   8202fe
alpine            postgres-official   15f21f
rapidfort         postgres-official   6c3cc3
chainguard        postgres-official   aff0e5
alpine            prometheus          41ec31
chainguard        prometheus          84ad57
original          prometheus          55a519
rapidfort         prometheus          0d6830
original          rabbitmq            8c5953
rapidfort         rabbitmq            15b4e2
alpine            rabbitmq            72acf4
chainguard        rabbitmq            5ca522
original          redis               f2e3d9
rapidfort         redis               aeb8ba
chainguard        redis               edc899
alpine            redis               a0df54
chainguard        redis-official      edc899
rapidfort         redis-official      2f2230
alpine            redis-official      a0df54
original          redis-official      eda2f5
chainguard        telegraf            27b549
original          telegraf            bdb46f
rapidfort         telegraf            8b4a84
alpine            telegraf            fbd244
original          traefik             ff20fd
chainguard        traefik             5c8306
rapidfort         traefik             4a6f35
alpine            traefik             ef53d1
rapidfort         vault               9e8731
original          vault               1fe5ac
alpine            vault               b72626
chainguard        vault               fec514
chainguard        zookeper            8bb0d3
original          zookeper            7380ba
alpine            zookeper            35a85c
rapidfort         zookeper            e2897b
original          zookeper-official   1d115d
rapidfort         zookeper-official   d9c127
alpine            zookeper-official   35a85c
chainguard        zookeper-official   8bb0d3
