image_provider,image_flavor,image_size_bytes,n_vulnerabilities,n_components,image_size_mb,vulns_per_comp
original,traefik,147438126,8.0,308,147.438126,0.025974025974025976
alpine,rabbitmq,136130165,0.0,30,136.130165,0.0
rapidfort,rabbitmq,93600266,93.0,53,93.600266,1.7547169811320755
rapidfort,envoy-official,72471568,3.0,13,72.471568,0.23076923076923078
chainguard,etcd,67191959,0.0,170,67.191959,0.0
rapidfort,telegraf,192932711,23.0,414,192.932711,0.05555555555555555
alpine,memcached-official,9700118,0.0,20,9.700118,0.0
chainguard,influxdb,150951968,0.0,259,150.951968,0.0
alpine,influxdb,194499074,24.0,311,194.499074,0.07717041800643087
original,cassandra-official,356033335,55.0,229,356.033335,0.24017467248908297
original,telegraf,286219155,88.0,934,286.219155,0.09421841541755889
alpine,traefik,91593887,99.0,17,91.593887,5.823529411764706
chainguard,curl,11875829,0.0,24,11.875829,0.0
alpine,zookeper-official,146553358,257.0,128,146.553358,2.0078125
chainguard,nats,21536464,0.0,22,21.536464,0.0
alpine,prometheus,198873915,112.0,258,198.873915,0.43410852713178294
rapidfort,traefik,135643959,9.0,280,135.643959,0.03214285714285714
chainguard,envoy,72991929,0.0,22,72.991929,0.0
chainguard,consul,151972467,0.0,285,151.972467,0.0
original,fluentd-official,58907968,4.0,129,58.907968,0.031007751937984496
alpine,envoy-official,77186846,42.0,20,77.186846,2.1
original,nginx,89163122,86.0,118,89.163122,0.7288135593220338
alpine,haproxy-official,24279723,2.0,19,24.279723,0.10526315789473684
rapidfort,nginx,22294248,50.0,28,22.294248,1.7857142857142858
alpine,nginx-official,42581398,1.0,64,42.581398,0.015625
rapidfort,consul,117205743,59.0,246,117.205743,0.23983739837398374
rapidfort,haproxy,19088880,43.0,24,19.08888,1.7916666666666667
rapidfort,memcached-official,11591743,26.0,17,11.591743,1.5294117647058822
original,memcached-official,120916954,186.0,110,120.916954,1.690909090909091
original,fluentd,257833517,265.0,408,257.833517,0.6495098039215687
chainguard,mariadb,265413581,0.0,48,265.413581,0.0
rapidfort,zookeper,233490638,26.0,46,233.490638,0.5652173913043478
alpine,redis-official,37768276,0.0,18,37.768276,0.0
original,nats-official,14020379,0.0,10,14.020379,0.0
rapidfort,zookeper-official,183985458,30.0,55,183.985458,0.5454545454545454
alpine,nginx,42581398,1.0,64,42.581398,0.015625
rapidfort,cassandra-official,252669227,40.0,69,252.669227,0.5797101449275363
original,vault,395768823,0.0,463,395.768823,0.0
chainguard,memcached-official,24297992,0.0,38,24.297992,0.0
chainguard,rabbitmq,219284424,0.0,38,219.284424,0.0
chainguard,haproxy-official,51543939,0.0,95,51.543939,0.0
chainguard,envoy-official,72991929,0.0,22,72.991929,0.0
alpine,consul,155379239,7.0,244,155.379239,0.028688524590163935
alpine,curl,11507592,0.0,22,11.507592,0.0
original,haproxy,116195507,102.0,230,116.195507,0.4434782608695652
chainguard,cassandra-official,246103362,8.0,198,246.103362,0.04040404040404041
original,etcd,144241664,94.0,366,144.241664,0.2568306010928962
original,redis,95143518,90.0,108,95.143518,0.8333333333333334
rapidfort,fluentd,29976043,48.0,186,29.976043,0.25806451612903225
rapidfort,fluentd-official,14790333,51.0,85,14.790333,0.6
alpine,zookeper,146553358,257.0,128,146.553358,2.0078125
chainguard,postgres-official,101686336,0.0,46,101.686336,0.0
rapidfort,vault,215275792,24.0,367,215.275792,0.0653950953678474
chainguard,fluentd-official,63584370,1.0,167,63.58437,0.005988023952095809
chainguard,traefik,134246685,0.0,297,134.246685,0.0
rapidfort,redis,26911795,1.0,4,26.911795,0.25
rapidfort,nats-official,13193459,0.0,10,13.193459,0.0
chainguard,memcached,24297992,0.0,38,24.297992,0.0
alpine,haproxy,24279723,2.0,19,24.279723,0.10526315789473684
original,envoy,147925387,86.0,100,147.925387,0.86
original,zookeper,521885063,114.0,217,521.885063,0.5253456221198156
alpine,postgres-official,238875841,1.0,49,238.875841,0.02040816326530612
chainguard,nginx-official,20649976,0.0,30,20.649976,0.0
original,zookeper-official,312775144,65.0,195,312.775144,0.3333333333333333
alpine,fluentd,58903430,4.0,129,58.90343,0.031007751937984496
chainguard,zookeper,296370823,2.0,97,296.370823,0.020618556701030927
chainguard,telegraf,196523007,1.0,413,196.523007,0.002421307506053269
original,envoy-official,147469238,14.0,96,147.469238,0.14583333333333334
rapidfort,redis-official,24248720,0.0,7,24.24872,0.0
original,memcached,86198027,92.0,112,86.198027,0.8214285714285714
alpine,memcached,9700118,0.0,20,9.700118,0.0
alpine,nats,22980859,0.0,27,22.980859,0.0
original,mariadb,403869740,38.0,157,403.86974,0.24203821656050956
chainguard,haproxy,51543939,0.0,95,51.543939,0.0
rapidfort,etcd,54677032,41.0,138,54.677032,0.2971014492753623
rapidfort,memcached,12288183,23.0,18,12.288183,1.2777777777777777
original,haproxy-official,103800892,102.0,98,103.800892,1.0408163265306123
chainguard,vault,271824900,0.0,455,271.8249,0.0
chainguard,redis-official,20905697,0.0,32,20.905697,0.0
rapidfort,envoy,71771767,23.0,14,71.771767,1.6428571428571428
alpine,redis,37768276,0.0,18,37.768276,0.0
rapidfort,mariadb,96746138,30.0,27,96.746138,1.1111111111111112
alpine,mariadb,258561366,2.0,38,258.561366,0.05263157894736842
rapidfort,nats,37669917,31.0,43,37.669917,0.7209302325581395
rapidfort,prometheus,237610251,29.0,476,237.610251,0.06092436974789916
rapidfort,haproxy-official,32847291,35.0,17,32.847291,2.0588235294117645
alpine,envoy,77186846,42.0,20,77.186846,2.1
alpine,nats-official,22980859,0.0,27,22.980859,0.0
chainguard,prometheus,181807369,4.0,345,181.807369,0.011594202898550725
rapidfort,nginx-official,100333492,70.0,67,100.333492,1.044776119402985
original,redis-official,152565010,190.0,108,152.56501,1.7592592592592593
rapidfort,curl,6542980,16.0,11,6.54298,1.4545454545454546
alpine,telegraf,218334914,1.0,454,218.334914,0.0022026431718061676
rapidfort,influxdb,147450497,60.0,261,147.450497,0.22988505747126436
original,postgres-official,416910058,140.0,147,416.910058,0.9523809523809523
original,prometheus,259859736,92.0,607,259.859736,0.1515650741350906
original,rabbitmq,211681324,150.0,113,211.681324,1.3274336283185841
chainguard,nats-official,21536464,0.0,22,21.536464,0.0
original,curl,16680293,2.0,31,16.680293,0.06451612903225806
rapidfort,postgres-official,87450806,76.0,62,87.450806,1.2258064516129032
chainguard,redis,20905697,0.0,32,20.905697,0.0
chainguard,nginx,20649976,0.0,30,20.649976,0.0
original,nginx-official,186614527,124.0,151,186.614527,0.8211920529801324
original,nats,98755310,104.0,132,98.75531,0.7878787878787878
alpine,vault,255032675,8.0,417,255.032675,0.019184652278177457
original,consul,230569591,256.0,607,230.569591,0.42174629324546953
alpine,fluentd-official,58903430,4.0,129,58.90343,0.031007751937984496
original,influxdb,206768213,106.0,524,206.768213,0.20229007633587787
chainguard,fluentd,63584370,1.0,167,63.58437,0.005988023952095809
chainguard,zookeper-official,296370823,2.0,97,296.370823,0.020618556701030927
