image_provider,image_flavor,image_size_bytes,image_digest
original,traefik,147438126,ff20fd
alpine,rabbitmq,136130165,72acf4
rapidfort,rabbitmq,93600266,15b4e2
rapidfort,envoy-official,72471568,40c008
chainguard,etcd,67191959,e8b654
rapidfort,telegraf,192932711,8b4a84
alpine,memcached-official,9700118,1a055b
chainguard,influxdb,150951968,2458b7
alpine,influxdb,194499074,2a04db
original,cassandra-official,356033335,7e4bca
original,telegraf,286219155,bdb46f
alpine,traefik,91593887,ef53d1
chainguard,curl,11875829,730de9
alpine,zookeper-official,146553358,35a85c
chainguard,nats,21536464,568475
alpine,prometheus,198873915,41ec31
rapidfort,traefik,135643959,4a6f35
chainguard,envoy,72991929,694cef
chainguard,consul,151972467,beadb8
original,fluentd-official,58907968,dc11fe
alpine,envoy-official,77186846,ee1985
original,nginx,89163122,23dcca
alpine,haproxy-official,24279723,5d01b6
rapidfort,nginx,22294248,5d0f64
alpine,nginx-official,42581398,a23c54
rapidfort,consul,117205743,394634
rapidfort,haproxy,19088880,ee8f0e
rapidfort,memcached-official,11591743,9ad889
original,memcached-official,120916954,a7f8c0
original,fluentd,257833517,28215e
chainguard,mariadb,265413581,9090a0
rapidfort,zookeper,233490638,e2897b
alpine,redis-official,37768276,a0df54
original,nats-official,14020379,85ba1b
rapidfort,zookeper-official,183985458,d9c127
alpine,nginx,42581398,a23c54
rapidfort,cassandra-official,252669227,7c8450
original,vault,395768823,1fe5ac
chainguard,memcached-official,24297992,5e3e71
chainguard,rabbitmq,219284424,5ca522
chainguard,haproxy-official,51543939,850ba8
chainguard,envoy-official,72991929,694cef
alpine,consul,155379239,e1eb4f
alpine,curl,11507592,35738c
original,haproxy,116195507,b1f51e
chainguard,cassandra-official,246103362,d26b96
original,etcd,144241664,ea4e32
original,redis,95143518,f2e3d9
rapidfort,fluentd,29976043,df4830
rapidfort,fluentd-official,14790333,f5363d
alpine,zookeper,146553358,35a85c
chainguard,postgres-official,101686336,aff0e5
rapidfort,vault,215275792,9e8731
chainguard,fluentd-official,63584370,fa7f90
chainguard,traefik,134246685,5c8306
rapidfort,redis,26911795,aeb8ba
rapidfort,nats-official,13193459,78c59d
chainguard,memcached,24297992,5e3e71
alpine,haproxy,24279723,5d01b6
original,envoy,147925387,2f12d3
original,zookeper,521885063,7380ba
alpine,postgres-official,238875841,15f21f
chainguard,nginx-official,20649976,0d66db
original,zookeper-official,312775144,1d115d
alpine,fluentd,58903430,ee008e
chainguard,zookeper,296370823,8bb0d3
chainguard,telegraf,196523007,27b549
original,envoy-official,147469238,82f353
rapidfort,redis-official,24248720,2f2230
original,memcached,86198027,a420a9
alpine,memcached,9700118,1a055b
alpine,nats,22980859,0b33f5
original,mariadb,403869740,cefa81
chainguard,haproxy,51543939,850ba8
rapidfort,etcd,54677032,f32742
rapidfort,memcached,12288183,b8a57b
original,haproxy-official,103800892,699008
chainguard,vault,271824900,fec514
chainguard,redis-official,20905697,edc899
rapidfort,envoy,71771767,47e9d8
alpine,redis,37768276,a0df54
rapidfort,mariadb,96746138,683710
alpine,mariadb,258561366,c74264
rapidfort,nats,37669917,f724af
rapidfort,prometheus,237610251,0d6830
rapidfort,haproxy-official,32847291,a3fcd1
alpine,envoy,77186846,ee1985
alpine,nats-official,22980859,0b33f5
chainguard,prometheus,181807369,84ad57
rapidfort,nginx-official,100333492,0c4d12
original,redis-official,152565010,eda2f5
rapidfort,curl,6542980,6464da
alpine,telegraf,218334914,fbd244
rapidfort,influxdb,147450497,984a4e
original,postgres-official,416910058,8202fe
original,prometheus,259859736,55a519
original,rabbitmq,211681324,8c5953
chainguard,nats-official,21536464,568475
original,curl,16680293,1e4890
rapidfort,postgres-official,87450806,6c3cc3
chainguard,redis,20905697,edc899
chainguard,nginx,20649976,0d66db
original,nginx-official,186614527,958130
original,nats,98755310,1326bc
alpine,vault,255032675,b72626
original,consul,230569591,3f84ec
alpine,fluentd-official,58903430,ee008e
original,influxdb,206768213,4910c6
chainguard,fluentd,63584370,fa7f90
chainguard,zookeper-official,296370823,8bb0d3
