severity,type,image_vendor,image_type
high,go-module,original,traefik
medium,go-module,original,traefik
medium,go-module,original,traefik
medium,go-module,original,traefik
medium,go-module,original,traefik
high,deb,rapidfort,rabbitmq
high,binary,rapidfort,rabbitmq
low,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
critical,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
critical,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
high,deb,rapidfort,rabbitmq
medium,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
negligible,deb,rapidfort,rabbitmq
low,deb,rapidfort,envoy-official
negligible,deb,rapidfort,envoy-official
negligible,deb,rapidfort,envoy-official
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
medium,go-module,chainguard,etcd
low,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
medium,go-module,rapidfort,telegraf
medium,go-module,rapidfort,telegraf
medium,deb,rapidfort,telegraf
medium,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
negligible,deb,rapidfort,telegraf
low,deb,original,cassandra-official
high,go-module,original,cassandra-official
medium,go-module,original,cassandra-official
medium,go-module,original,cassandra-official
low,go-module,original,cassandra-official
low,deb,original,cassandra-official
medium,java-archive,original,cassandra-official
low,java-archive,original,cassandra-official
high,java-archive,original,cassandra-official
high,java-archive,original,cassandra-official
negligible,deb,original,cassandra-official
negligible,deb,original,cassandra-official
medium,deb,original,cassandra-official
medium,deb,original,cassandra-official
medium,deb,original,cassandra-official
medium,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
medium,deb,original,cassandra-official
negligible,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
medium,deb,original,cassandra-official
low,deb,original,cassandra-official
medium,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
low,deb,original,cassandra-official
negligible,deb,original,cassandra-official
