image-name,chainguard-critical,chainguard-high,chainguard-medium,chainguard-low,chainguard-negligible,chainguard-unknown,chainguard-img-sz,rapidfort-critical,rapidfort-high,rapidfort-medium,rapidfort-low,rapidfort-negligible,rapidfort-unknown,rapidfort-img-sz,docker-critical,docker-high,docker-medium,docker-low,docker-negligible,docker-unknown,docker-img-sz,alpine-critical,alpine-high,alpine-medium,alpine-low,alpine-negligible,alpine-unknown,alpine-img-sz
mariadb,0.0,0.0,0.0,0.0,0.0,0.0,265413581.0,0,4,6,1,18,0,96746138,0,1,14,18,3,0,403869740,0.0,2.0,0.0,0.0,0.0,0.0,258561366.0
postgres,0.0,0.0,0.0,0.0,0.0,0.0,101686336.0,0,12,17,2,42,0,87450806,0,6,24,4,99,2,416910058,0.0,0.0,1.0,0.0,0.0,0.0,238875483.0
redis,0.0,0.0,0.0,0.0,0.0,0.0,20905697.0,0,1,0,0,0,0,26911795,1,15,38,5,128,7,152565010,0.0,0.0,0.0,0.0,0.0,0.0,37768276.0
nginx,0.0,0.0,0.0,0.0,0.0,0.0,20649976.0,0,3,8,6,30,1,22294248,0,6,27,4,71,4,186614527,0.0,0.0,0.0,0.0,0.0,0.0,37768276.0
grafana,,,,,,,,3,26,22,0,0,0,87199840,0,6,5,3,0,0,1525526227,,,,,,,
envoy,0.0,0.0,0.0,0.0,0.0,0.0,72991929.0,0,3,2,1,16,0,71771767,1,10,17,7,61,2,147911648,,,,,,,
etcd,0.0,0.0,0.0,0.0,0.0,0.0,60610127.0,0,5,6,1,29,0,54677032,1,10,15,7,59,2,144241813,,,,,,,
fluentd,0.0,0.0,1.0,0.0,0.0,0.0,63584370.0,0,6,11,2,27,0,29976043,1,34,64,9,147,5,257829383,,,,,,,
haproxy,0.0,0.0,0.0,0.0,0.0,0.0,59875099.0,0,5,9,1,19,0,32847291,1,13,17,7,60,2,103800892,0.0,0.0,2.0,0.0,0.0,0.0,24279723.0
influxdb,0.0,0.0,0.0,0.0,0.0,0.0,133838863.0,2,16,21,3,39,0,147417729,3,20,27,9,71,2,207313040,10.0,4.0,0.0,10.0,0.0,0.0,194499074.0
rabbitmq,0.0,0.0,0.0,0.0,0.0,0.0,218639090.0,2,16,24,3,46,0,93600266,3,20,31,9,85,2,211677218,0.0,0.0,0.0,0.0,0.0,0.0,136129077.0
zookeper,0.0,0.0,1.0,0.0,0.0,0.0,296158530.0,0,3,22,0,0,0,233490638,1,34,64,9,147,5,257829383,,,,,,,
consul,0.0,0.0,0.0,0.0,0.0,0.0,132297195.0,0,5,11,6,33,1,117205743,1,33,60,11,141,5,230409171,,,,,,,
nats,0.0,0.0,0.0,0.0,0.0,0.0,20367608.0,0,3,6,1,20,0,37669917,3,24,17,9,61,2,98552523,0.0,0.0,0.0,0.0,0.0,0.0,22947725.0
